filename,pt_body_nose_front_dx,pt_body_nose_front_dz,sym_body_front_wing_dx,sym_body_front_wing_dy,sym_body_front_wing_dz,sym_body_mid_wing_dx,sym_body_mid_wing_dy,sym_body_mid_wing_dz,sym_body_back_wing_dx,sym_body_back_wing_dy,sym_body_back_wing_dz,sym_body_mid_dx,sym_body_mid_dy,sym_body_mid_dz,sym_body_back_dx,sym_body_back_dy,sym_body_back_dz,pt_body_top_wing_dx,pt_body_top_wing_dz,pt_body_top_mid_dx,pt_body_top_mid_dz,pt_body_top_back_dx,pt_body_top_back_dz,pt_wing_point_dx,pt_wing_point_dz,sym_wing_l1_r1_dx,sym_wing_l1_r1_dy,sym_wing_l1_r1_dz,sym_wing_l1_r2_dx,sym_wing_l1_r2_dy,sym_wing_l1_r2_dz,sym_wing_l1_r3_dx,sym_wing_l1_r3_dy,sym_wing_l1_r3_dz,sym_wing_l2_r1_dx,sym_wing_l2_r1_dy,sym_wing_l2_r1_dz,sym_wing_l2_r2_dx,sym_wing_l2_r2_dy,sym_wing_l2_r2_dz,sym_wing_l2_r3_dx,sym_wing_l2_r3_dy,sym_wing_l2_r3_dz,sym_wing_l3_r1_dx,sym_wing_l3_r1_dy,sym_wing_l3_r1_dz,sym_wing_l3_r2_dx,sym_wing_l3_r2_dy,sym_wing_l3_r2_dz,sym_wing_l3_r3_dx,sym_wing_l3_r3_dy,sym_wing_l3_r3_dz,sym_wing_l4_r1_dx,sym_wing_l4_r1_dy,sym_wing_l4_r1_dz,sym_wing_l4_r2_dx,sym_wing_l4_r2_dy,sym_wing_l4_r2_dz,sym_wing_l4_r3_dx,sym_wing_l4_r3_dy,sym_wing_l4_r3_dz,sym_wing_l5_r1_dx,sym_wing_l5_r1_dy,sym_wing_l5_r1_dz,sym_wing_l5_r2_dx,sym_wing_l5_r2_dy,sym_wing_l5_r2_dz,sym_wing_l5_r3_dx,sym_wing_l5_r3_dy,sym_wing_l5_r3_dz,sym_end_down_front_dx,sym_end_down_front_dy,sym_end_down_front_dz,sym_end_down_back_dx,sym_end_down_back_dy,sym_end_down_back_dz,sym_end_up_front_dx,sym_end_up_front_dy,sym_end_up_front_dz,sym_end_up_back_dx,sym_end_up_back_dy,sym_end_up_back_dz,Cd,Cl,CmPitch,L_D_Ratio
wing_001.stl,-0.012978,0.010562,-0.000993,-0.001721,0.006774,0.016890,0.019071,0.027412,0.005222,0.028742,-0.016153,0.008036,-0.027261,-0.010155,0.017976,0.016197,0.029863,-0.010441,-0.028596,-0.001435,0.017176,-0.021601,-0.017653,0.006591,0.020171,0.016211,0.002870,0.013361,-0.004563,-0.019032,0.016789,0.003775,0.014279,0.012275,0.018601,0.009894,0.017963,-0.003859,0.013145,0.011964,0.001995,0.004559,0.016270,0.017508,-0.019294,0.001075,0.000462,0.016913,0.004700,-0.001094,-0.012578,0.002048,-0.010744,0.003488,-0.010723,0.007497,-0.011545,-0.015465,0.009212,0.004576,-0.009948,-0.009581,-0.012926,-0.013662,-0.010292,-0.007660,-0.019504,-0.018422,0.015665,0.013609,0.020513,0.008948,0.019400,0.009724,0.013758,0.019663,-0.008619,-0.012245,0.013906,-0.028099,-0.009111,-0.019598,0.5701382,-2.621332,-1.110904,-4.597713326347892
wing_002.stl,0.002616,0.005923,0.028473,0.007883,0.002860,-0.021468,-0.013388,0.011509,-0.012339,0.002394,0.015395,-0.021994,-0.012840,-0.015119,-0.010138,0.004522,0.005183,-0.003171,0.020111,0.023255,0.028055,-0.011604,0.011918,0.015674,0.003200,-0.000324,-0.017751,0.016907,0.008513,-0.009534,0.007115,-0.007780,0.010103,0.009133,-0.008597,0.012142,0.013773,0.009802,0.015454,0.003551,-0.007987,0.018346,0.005046,0.012861,0.011776,0.011221,0.017341,0.010176,0.005370,0.014048,0.004741,0.006047,-0.000752,-0.010444,0.013881,0.004702,-0.003184,0.004330,0.010613,0.000350,0.000438,0.019631,0.003954,0.011304,0.001419,-0.017835,-0.013861,0.003388,-0.013715,0.013406,-0.024941,-0.028892,-0.023294,0.006320,-0.016565,0.022081,-0.027301,-0.009487,-0.024742,0.028924,-0.006506,0.018173,0.5835078,-2.558124,-1.053599,-4.384044223573361
wing_003.stl,0.020961,0.008066,0.025446,0.014306,0.004760,-0.014791,-0.008733,0.004368,0.006284,0.004151,0.028640,-0.010886,-0.017948,0.019740,0.026963,-0.029578,-0.016883,0.006965,-0.018894,-0.016757,-0.016461,-0.024283,0.013440,0.025216,0.001968,-0.018462,-0.009688,0.010544,0.002831,-0.016013,0.010241,0.005420,-0.011046,0.018757,-0.012282,-0.008597,0.000211,-0.008356,-0.007527,0.010241,0.013620,-0.012179,0.018372,-0.015054,0.004489,0.007321,-0.010320,-0.012124,0.013169,0.015722,-0.019269,0.011619,-0.018180,-0.012741,-0.009528,-0.014345,0.018147,-0.006880,-0.005120,-0.003909,0.014034,0.016353,-0.009001,0.002869,-0.008079,0.006401,0.004617,-0.018385,0.008622,0.006007,-0.010633,0.019881,-0.007770,-0.011759,-0.020755,0.029306,-0.016804,0.019006,-0.015839,-0.006804,0.004366,-0.006952,0.6620158,-2.564547,-1.043897,-3.8738456091229243
wing_004.stl,-0.021704,0.011687,-0.014744,-0.020442,0.003178,-0.008916,0.004357,0.007346,-0.020124,0.021799,0.005008,0.011519,-0.004016,0.007782,-0.012030,0.005945,0.001468,0.025856,-0.011729,0.013076,-0.018267,0.004515,0.001033,-0.020309,0.006637,0.008081,0.014673,0.019623,-0.002396,0.007130,0.013475,0.001326,0.011350,0.001195,-0.001048,0.017647,0.001937,0.016986,0.008764,0.014931,0.007829,-0.017636,0.002381,0.009735,0.007957,0.000490,-0.001558,0.002884,0.005962,0.005484,-0.000314,0.018146,0.001917,0.001437,-0.005002,0.005926,-0.017846,0.009874,0.007125,0.006020,0.008287,-0.016407,-0.011462,0.018807,-0.005881,0.001881,-0.008558,0.010975,-0.004094,0.004832,-0.001705,0.021030,-0.002605,-0.029436,0.021156,0.018538,-0.024823,-0.011500,0.014536,-0.008139,-0.009928,-0.022415,0.6303178,-2.631946,-1.123043,-4.175585712477103
wing_005.stl,-0.014111,0.022193,0.027183,0.025248,0.017367,0.019773,0.022953,0.006971,0.015166,-0.000731,-0.011970,0.002287,0.000423,-0.027316,0.003133,-0.011052,-0.021622,-0.020857,0.029485,0.017951,0.010234,0.009233,-0.008914,-0.012340,0.008773,-0.018276,-0.000697,0.017693,-0.007726,0.002370,0.000214,-0.003627,0.006258,0.010744,0.016865,-0.013446,0.000678,0.003843,0.016016,0.018829,-0.006536,-0.019351,0.009266,-0.001027,0.019919,0.016964,0.011358,-0.011830,0.007385,0.002670,0.006305,0.008245,0.014809,0.003029,-0.006118,0.012949,0.012401,0.002214,0.004676,0.003506,0.016866,-0.019014,-0.007527,-0.003708,-0.011975,-0.013561,-0.006327,-0.007263,0.000117,0.006921,0.018334,-0.016835,-0.026777,-0.016351,0.001728,0.010921,-0.018071,0.026130,-0.008362,-0.017425,-0.018852,0.023002,0.6185067,-2.382044,-0.9576838,-3.851282451750321
wing_006.stl,0.009179,0.016037,-0.003255,0.024045,0.005318,-0.028344,-0.007597,0.021168,0.021485,0.000764,-0.020990,0.022288,-0.025594,-0.007167,-0.025169,-0.006502,0.008830,0.005945,0.015773,0.014359,-0.002269,-0.004517,-0.028280,-0.009627,0.018328,0.007538,-0.001676,0.002658,0.016387,-0.017599,0.002012,0.013273,0.019888,0.016922,0.006280,0.006075,0.014898,0.005460,0.004356,0.017352,-0.000355,-0.002721,0.006629,0.003108,0.002391,0.016209,-0.001948,0.002326,0.001441,0.001314,-0.013119,0.007073,0.011973,0.005899,-0.003819,0.008981,0.002978,0.012378,-0.014241,0.010016,-0.016946,0.003576,0.001124,0.009247,0.013663,0.000375,-0.013117,-0.000070,-0.006922,0.012795,-0.028606,-0.020477,-0.004850,0.022903,0.000347,-0.003266,-0.029045,-0.026811,0.008309,-0.021001,0.026360,0.021815,0.6177855,-2.472478,-1.023109,-4.002162562896022
wing_007.stl,0.022587,0.013340,0.013299,-0.000864,0.024783,0.021521,0.029605,0.004148,0.013208,-0.007659,0.017416,-0.024161,0.018246,0.022500,0.019357,-0.022504,0.016668,0.002786,0.000982,0.005009,0.016028,-0.007797,-0.019580,-0.002551,0.015591,0.014662,-0.009243,0.014357,-0.016493,-0.012196,0.000815,-0.011414,0.015939,0.012634,0.001780,0.016085,0.003351,0.007304,-0.001204,0.000065,0.005672,-0.006593,0.017219,-0.002681,-0.003686,0.001426,0.010576,-0.010462,0.000049,-0.003442,0.009858,0.005806,0.018269,0.007812,-0.002720,0.010808,0.008189,-0.005397,-0.006786,-0.017996,-0.003566,0.000995,-0.005293,-0.006645,0.007315,0.000808,-0.001527,-0.009848,-0.011525,0.011002,-0.012088,0.000402,-0.010867,-0.022963,-0.026318,-0.021561,0.003133,-0.006026,-0.029093,0.028518,-0.026664,-0.018517,0.6398306,-2.506495,-0.9744574,-3.9174353336648795
wing_008.stl,-0.000594,0.010076,0.000639,-0.027886,0.026014,-0.016517,-0.018795,0.020757,-0.014878,-0.003837,-0.029869,0.026475,0.021119,0.028341,-0.014467,0.000136,-0.020117,-0.023217,0.026898,-0.004474,0.001706,0.025986,-0.008357,0.007639,0.012637,-0.014082,0.015583,0.007867,0.017795,-0.010728,0.001910,-0.005177,0.009409,0.003456,-0.010192,0.008218,0.007052,-0.000402,0.000430,0.009713,0.008013,0.013626,0.014169,-0.005647,-0.012718,0.004197,0.007407,-0.008087,0.002420,0.009739,0.007658,0.017898,0.017492,0.017806,0.003724,0.011286,-0.016471,0.017532,-0.010060,-0.001423,0.007727,-0.001894,-0.009964,0.013027,0.010594,-0.011194,0.001300,-0.012349,-0.005970,-0.000461,0.006250,-0.003395,-0.024496,-0.006719,-0.007911,-0.003689,-0.011676,-0.009824,-0.003576,0.024161,0.000774,-0.013290,0.6002524,-2.662149,-1.061492,-4.435049322584965
wing_009.stl,-0.009915,0.012944,-0.021541,0.011924,0.002015,-0.018495,0.024125,0.012302,-0.008405,-0.026681,0.003607,0.024982,-0.008205,-0.001709,-0.013609,0.022368,-0.011563,-0.007918,0.022689,0.008508,-0.011517,-0.026299,-0.002977,-0.026627,0.005026,0.010913,0.003988,0.014461,0.015723,0.010911,0.001522,0.015901,-0.019499,0.004052,0.010959,0.003198,0.014796,0.002788,0.009311,0.000586,-0.017012,-0.010198,0.000822,0.009584,0.006571,0.010411,-0.016449,0.004352,0.010190,0.000153,-0.001747,0.016370,-0.005945,-0.003978,0.004085,0.003055,0.018498,-0.009979,-0.019929,-0.019860,0.018532,0.017576,0.009674,-0.002842,0.011485,-0.009027,0.019881,-0.014046,0.004739,0.002841,0.008506,0.029120,0.028509,0.012945,0.015908,-0.009188,0.005641,-0.014599,-0.011550,0.009012,-0.015009,-0.009288,0.6203331,-2.625351,-1.121839,-4.232163332893248
wing_010.stl,0.006565,0.026907,0.016787,0.004183,0.029511,0.005657,0.021380,0.010223,-0.011677,0.026477,0.024497,-0.019780,-0.028369,-0.017140,-0.018132,0.019346,0.017451,-0.000846,0.011899,-0.021374,-0.013952,0.003279,-0.004721,-0.016627,0.022025,0.013369,0.002237,0.009479,-0.000394,0.003782,0.008935,-0.014035,-0.016719,0.005623,-0.007868,-0.003931,0.016381,0.019138,0.000841,0.012028,-0.011396,-0.011045,0.019697,0.008499,-0.009965,0.016735,-0.012189,0.006208,0.013701,-0.005232,-0.001215,0.005477,0.002438,-0.001969,-0.012955,-0.007023,0.003920,-0.013146,-0.011230,0.013144,-0.001283,0.010718,0.015627,-0.012784,-0.019580,0.017385,-0.011180,-0.019740,-0.000045,0.004713,-0.018597,0.011726,-0.016788,-0.012911,-0.013640,-0.020016,-0.016295,-0.025343,0.016644,0.004514,0.005850,0.028925,0.6036546,-2.44262,-0.958967,-4.046386791386994
