filename,pt_nose_dx,pt_nose_dy,pt_nose_dz,sym_f1_dx,sym_f1_dy,sym_f1_dz,sym_f2_dx,sym_f2_dy,sym_f2_dz,sym_f3_dx,sym_f3_dy,sym_f3_dz,sym_l1_dx,sym_l1_dy,sym_l1_dz,sym_s1_dx,sym_s1_dy,sym_s1_dz,sym_m1_dx,sym_m1_dy,sym_m1_dz,sym_h1_dx,sym_h1_dy,sym_h1_dz,Cd,Cl,CmPitch,L_D_Ratio
tablon_001,-0.027835,0.004597,0.007668,-0.031309,0.022386,-0.010635,0.007881,-0.029555,0.011146,-0.031639,-0.021039,-0.011394,-0.033651,-0.033461,0.020661,0.037055,0.000631,0.002771,0.014887,-0.025249,-0.018755,-0.008595,-0.012942,0.007052,0.1551766,0.107853,0.1155979,0.6950339161961275
tablon_002,0.028346,-0.018343,0.019803,-0.00181,0.023573,0.002198,-0.035834,0.03699,0.01614,-0.001444,-0.037464,0.004078,0.027329,-0.039817,0.015887,-0.035179,-0.007218,0.005045,-0.022768,0.02636,0.010597,-0.002314,0.024527,0.004479,0.1919292,-0.2950423,-0.07234873,-1.5372455051133438
tablon_003,-0.031742,-0.009905,-0.012552,0.022909,0.017724,-0.001961,-0.007638,0.029377,-0.032211,0.024061,-0.019435,0.018568,0.021519,0.017534,-0.020546,-0.01492,-0.029634,0.024314,-0.001247,0.020177,-0.012172,0.038603,-0.03799,-0.01257,0.2781614,1.094637,0.514317,3.935258450669288
tablon_004,-0.00756,-0.032031,0.028577,0.025354,-0.036312,-0.022585,-0.002316,-0.011789,0.006487,0.00492,0.012656,-0.010441,0.015838,-0.003373,0.027471,-0.015994,0.009959,0.030905,-0.010149,0.031308,-0.02199,-0.018495,0.026818,0.003498,0.1934066,-0.3284241,-0.1138701,-1.6981018227919833
tablon_005,0.005364,-0.014008,0.000955,-0.015898,-0.004334,0.00413,-0.033287,-0.01405,-0.01547,-0.000766,-0.03944,0.005909,0.004938,-0.015973,-0.021993,-0.029642,-0.021354,0.037814,-0.02747,0.037495,-0.01266,-0.002675,0.015859,-0.001177,0.3009939,0.9623377,0.4501655,3.1972000097011932
tablon_006,-0.014689,0.006444,-0.027965,0.010588,-0.013109,0.02479,0.023195,0.031146,-0.006539,-0.004627,-0.026082,-0.00778,0.005762,0.008557,-0.03993,0.038789,0.034958,0.038935,0.020666,-0.030376,-0.025782,0.030234,0.014119,-0.002814,0.2209635,0.6809736,0.2909229,3.08183749804832
tablon_007,-0.006499,0.038669,-0.02033,-0.02714,-0.031078,0.023809,0.003931,-0.002255,-0.017249,0.02758,-0.034929,-0.015474,0.0194,0.032341,-0.015552,-0.009059,0.003768,-0.001521,0.015954,-0.011396,-0.039198,-0.032989,0.007043,0.011482,0.277936,1.142307,0.5743222,4.1099641644119504
tablon_008,0.012508,-0.013723,-0.022917,-0.007781,0.030015,0.014394,-0.011642,-0.035771,0.018685,-0.024636,0.008919,-0.037749,-0.019872,0.025411,0.004841,0.027203,0.011348,0.038792,-0.030605,-0.008332,0.026852,0.033515,-0.036114,-0.027976,0.1581216,-0.03407418,0.004986018,-0.21549351891202723
tablon_009,-0.01647,0.026734,-0.033944,-0.018064,0.02731,-0.019531,0.019495,0.004359,0.005573,-0.010686,0.016919,0.003579,0.025687,-0.002977,0.039188,-0.000307,0.025692,0.031781,-0.01328,0.008495,-0.037581,-0.012437,-0.008401,0.010057,0.2048531,0.2374679,0.1698599,1.1592106734045031
tablon_010,0.006141,0.016752,0.030608,0.004958,-0.016389,0.027811,-0.030874,0.036268,0.039588,0.031052,-0.033427,-0.028976,0.039633,-0.036583,-0.004394,0.004512,-0.029101,-0.034063,0.032153,-0.036896,-0.024823,-0.027679,0.038825,-0.019692,0.1625227,0.08031715,0.06774012,0.49419035002495043
